text,label,label_name,app_name,app_id,rating,thumbs_up,review_id
"dapat diskon 40rb, dipakai malah hilang. ga lagi2 deh pilih barang di aplikasi ini buang2 waktu",0,negatif,Tokopedia,com.tokopedia.tkpd,1,0,d204665b-a1ba-4c9a-9a43-3b0e7f4f3c27
"kecewa, proses pengembalian dana refund ke rekening lama sekali sdh 6jam blm masuk2 ke rekening statusnya masih dlm proses review. padahal sebelumnya pernah juga bgni bisa langsung masuk tanpa nunggu, tapi giliran nominalnya lumayan malah lama banget blm masuk2 juga ke rekening. tlng di bantu percepat proses pencairannya jgn buat pengguna merasa gak tenang karna uangnya terlalu lama gantung di sistem kalian.",0,negatif,Tokopedia,com.tokopedia.tkpd,1,0,32d6a019-2028-45c9-8bac-319a82edcd90
transaksi e-incoive rawan di bobol. saya sudah rugi 3.200.000 transaksi yang di alihakn ke e-invoice tokopedia atas nama pembayaran digital.,0,negatif,Tokopedia,com.tokopedia.tkpd,1,0,92be9ea7-9403-4bd7-a015-870f91cbf1bb
"sudah mulai kecewa dengan toped.. pembayaran sebelum waktunya dibayarkan,.mau dipakai transaksi eh malah ga bisa digunakan limit gopaylaternya..",0,negatif,Tokopedia,com.tokopedia.tkpd,1,0,ed632d4b-7275-408b-ad0e-46b81030728d
chat cutomer live dengan agen aja lama untuk pengembalian dana dan rata rata respon penjual nya juga lama padahal kita juga butuh cepat gitu pelayanan customer terbaik sedangkan pengmbalian dan sudah di kasih data pribadi aja juga gak langsung tolong di perbaiki sistem nya massa kalah dengan yg lain,0,negatif,Tokopedia,com.tokopedia.tkpd,1,0,9fb36d3d-6961-4486-a648-259e1da0e40a
"buruk bngt apalagi barang jne, dilenyapkan barangnya padahl udh ditunggu lama, mau komplen rumit ga ngasih solusi",0,negatif,Tokopedia,com.tokopedia.tkpd,1,0,6e4fdbcf-c831-42f0-88ec-b01478991c85
ngasih promo tapi tidak bisa di pakai lebih unggul shopee,0,negatif,Tokopedia,com.tokopedia.tkpd,1,0,274afeb8-b97c-409a-85b2-d4eba5d9d430
"barang di toped mahal ,mending di shopee lebih murah bisa 10-50k",0,negatif,Tokopedia,com.tokopedia.tkpd,1,0,55f72eea-6d50-4dbb-8b3d-93505a0fb541
lemot berat aplikasi nya gak kaya shop yang lain .. lancar,0,negatif,Tokopedia,com.tokopedia.tkpd,1,0,764226fc-5e9a-4f01-b911-46c7f16f9465
"tokopedia sangat parah, promo pengguna barunya tidak dapat digunakan, sudah berulang kali mencoba selalu gagal, ibaratnya di php terus dengan iming2 voucher pengguna baru tapi tipu2",0,negatif,Tokopedia,com.tokopedia.tkpd,1,0,fb482bdf-ae61-416a-bda7-0b605f4efbf0
"ribet, mau ganti no hp harus ktp, penjual banyak alasan,dll",0,negatif,Tokopedia,com.tokopedia.tkpd,1,0,2c0d8eaf-d890-4a7c-9846-cc3461e7fdd2
"awalnya minat karena ada promo diskon besar sebagai pengguna baru (voucher) .. eh udah mau check out ternyata bohongan.. 😅 voucher tidak bisa di klaim karena tidak sesuai syarat, yg tidak disebutkan syarat apa yg tidak sesuai. dah lah ..uninstall kembali ke shopee aja kalo gini.",0,negatif,Tokopedia,com.tokopedia.tkpd,1,0,82a6e90c-30c7-4165-9b81-c6b472b35923
kenapa ini disc plus jadi kecil gini?? biasanya 5%.,0,negatif,Tokopedia,com.tokopedia.tkpd,1,0,31a42bde-6921-40d1-af41-36a309139810
"terpaksa belanja di sini walaupun ongkir mahal, tgl kembar pun gk ngaruh tetep oangkir mahal,",0,negatif,Tokopedia,com.tokopedia.tkpd,1,0,ce2ac52c-5979-478b-8bcb-10def91402d3
