text,label,label_name,app_name,app_id,rating,thumbs_up,review_id
"ayo bangkit bukalapak.. dulu sering belanja disini, sekarang pas buka aplikasinya tiba2 udh ga ada apa2 selain kerjasama dengan prakerja dan topup pulsa, ayoo berinovasi lagi.. 💪💪💪💪",2.0,positif,Bukalapak,com.bukalapak.android,5,0,7074aaad-f1fe-4281-bb1a-351ec01a4709
lama nya bener2 kebangetan kalo mesen go food driver nya ga ketemu2,0.0,negatif,Gojek,com.gojek.app,2,0,f1a77423-f9ee-4a55-8258-7a21a94862c9
iklan tambah banyak dan cukup mengganggu,2.0,positif,detikcom,org.detikcom.rss,4,2,2cbbee9c-cd2d-4039-9707-a140e0ea4536
"min kenapa potongan uang admin nya gede amat kemarin aku isi 10k kesedot jadi 4k sekarang aku isi 18k langsung ilang, kalau kayak gini aku jadi ga berani nyimpen uang di bca lagi🙏 tolong di perbaiki min",0.0,negatif,BCA Mobile,com.bca,2,0,0de020e8-b64e-42de-bdef-e271398f6951
"aplikasi nya gampang banget buat penipuan,udah 2x ditipu,di aplikasi ini",0.0,negatif,Lazada ID,com.lazada.android,2,0,624b27de-fa0f-4547-8d77-baf176abb6b4
halaman belanja gaada,0.0,negatif,Bukalapak,com.bukalapak.android,1,1,02d3d13f-681c-4907-b9f4-3e47c7aa6100
saya lagi naik goride masa saya pesan makanan tiba2 masa pencet makanan aneh..sistem mu aneh gojek,0.0,negatif,Gojek,com.gojek.app,2,2,53c6b3af-2141-4e78-9353-08629dd32854
"saat masuk aplikasi, loadingnya minta ampun, gimana ngatasinya? jaringan baik-baik aja..",0.0,negatif,Grab,com.grabtaxi.passenger,2,0,02172d25-7cf2-44c4-b866-ec57ca3d3e25
"sangat membantu,hemat,nyaman,terima kasih grab,lancar selalu..",2.0,positif,Grab,com.grabtaxi.passenger,5,0,934af579-d09d-40a8-bfa8-ff5a1a039f09
kenapa ya gagal chat sama dokter yg promo. trus tolong ganti kerja samanya jngn sama gojek. saya pesen obat susah bgt. gagal terus nyari driver.,0.0,negatif,Halodoc,com.linkdokter.halodoc.android,2,0,fdc7ddb8-9028-4ebd-a9dc-396563fe9f73
pulihkan semua data,2.0,positif,Tokopedia,com.tokopedia.tkpd,5,0,46adcd0a-e45b-4f02-8ca3-b07b501c1442
aplikasi nya nyebelin. iklan promo muncul terus mengganggu dan ngalangin. terus live produk juga mengganggu. gak mau nonton suka muncul.,0.0,negatif,Shopee,com.shopee.id,1,0,2f33f3ff-2a76-4b76-bbcc-9148ee96a66b
sangat bagus dan mudah untuk metode pembayarannya,2.0,positif,Tokopedia,com.tokopedia.tkpd,5,0,995a463b-c4ae-4cba-a01c-6771fffa5b27
"kecewa biasanya 3 hari sampai.. skrng lebih 5 hari blm sampai"",udah hubungi cs tpi tetep aja stuck. padahal barangnya mau di pake.. kecewa banget. baru kali ini pengen pindah eccomers lain.",0.0,negatif,Shopee,com.shopee.id,2,2,b7de1f70-4ee9-42ab-bd5e-fee890f3a8d0
